,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/10312664_blauwvoetstraat,Blauwvoetstraat ,1061 BJ,1750.0,2,99,onbekend,onbekend,2020-06-15 12:24:14.482599
https://www.woonnet.nl/huurwoning/amsterdam/10298202_visseringstraat,Visseringstraat 21C,1051 KH,2000.0,117,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:14.844420
https://www.woonnet.nl/huurwoning/amsterdam/10298883_hobbemakade,Hobbemakade 59 hs,1071 XL,1700.0,67,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:14.845135
https://www.woonnet.nl/huurwoning/amsterdam/10299093_nassaukade,Nassaukade ,1013 EN,1650.0,1,99,onbekend,onbekend,2020-06-15 12:24:15.151118
https://www.woonnet.nl/huurwoning/amsterdam/5785827_olof-palmeplein,Olof Palmeplein ,1025 WS,1500.0,72,1,Gemeubileerd,beschikbaar,2020-06-15 12:24:16.072676
https://www.woonnet.nl/huurwoning/amsterdam/10297071_brahmsstraat,Brahmsstraat 16 II,1077 HJ,2500.0,127,3,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:16.073408
https://www.woonnet.nl/huurwoning/amsterdam/10300040_baarsjesweg,Baarsjesweg ,1053 TN,1750.0,2,99,onbekend,onbekend,2020-06-15 12:24:16.471611
https://www.woonnet.nl/huurwoning/amsterdam/10294765_geervliet,Geervliet ,1082 NL,1500.0,84,1,Beschikbaar per: 2020-08-01,gratis!</span>,2020-06-15 12:24:16.782977
https://www.woonnet.nl/huurwoning/amsterdam/10295139_rosmarijnsteeg,Rosmarijnsteeg 3 I,1012 RP,1750.0,95,3,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:16.783603
https://www.woonnet.nl/huurwoning/amsterdam/1302_kuipersstraat,Kuipersstraat ,1073 EV,1150.0,28,1,Gestoffeerd,01-07-2020,2020-06-15 12:24:16.784233
https://www.woonnet.nl/huurwoning/amsterdam/10295835_van-ostadestraat,Van Ostadestraat 200 II,1073 TS,1875.0,61,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:16.785151
https://www.woonnet.nl/huurwoning/amsterdam/10293897_de-lairessestraat,De Lairessestraat ,1071 NR,1950.0,105,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:16.862591
https://www.woonnet.nl/huurwoning/amsterdam/4428_pietersbergweg,Pietersbergweg ,1105 BM,825.0,48,1,Gestoffeerd,01-04-2021,2020-06-15 12:24:16.863321
https://www.woonnet.nl/huurwoning/amsterdam/10290186_westerdok,Westerdok ,1013 AZ,1900.0,67,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:17.541260
https://www.woonnet.nl/huurwoning/amsterdam/10293674_rosmarijnsteeg,Rosmarijnsteeg 11,1012 RP,1500.0,75,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:17.541981
https://www.woonnet.nl/huurwoning/amsterdam/6244_pietersbergweg,Pietersbergweg ,1105 BM,875.0,56,1,Gestoffeerd,01-04-2021,2020-06-15 12:24:17.542669
https://www.woonnet.nl/huurwoning/amsterdam/10284190_andreas-schelfhoutstraat,Andreas Schelfhoutstraat ,1058 HP,1650.0,67,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:17.817288
https://www.woonnet.nl/huurwoning/amsterdam/10284297_singel,Singel 39 A,1012 VC,1350.0,42,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:24:17.818013
https://www.woonnet.nl/huurwoning/amsterdam/10297024_barentszstraat,Barentszstraat ,1013 NL,1450.0,1,99,onbekend,onbekend,2020-06-15 12:24:18.224541
